,essays,scores
482," June 17, 2000 Dear Manager, As for the ""Over The Rainbow"" presented by your theatre last night, I would like to inform you of the following problems. Firstly, the starring actor was different from the one who had been mentioned on the advertisement for this musical show as ""Danny Brook"". As I was so looking foreward to seeing Danny's stage, I was very disappointed. I think you should have informed us of  changing  starring before starting of the show. In addition, I'd like to know the reason why the actor was changed. Secondly, the show started at 20:15 instead of 19:30  mentioned on the advertisement. As the third point, our tickets were not discounted at all! The Ad. says that TICKETS: Discounts Available. Lastly, your theatre restaurant had been closed already when the show was finished, because the time of begining of the show was late. As above mentioned, it can not be a ""perfect evening"". There are lots of reasons why I was so disappointed, and could not enjoy the show, you see!! Therefore,  would be grateful if you could give me back some money.  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. She told about our plan, indeed our ""secret plan"", to Sally! How foolish! But, Mark, Pat and I were planning a birthday-party for Sally on June 2 at her own home. It should have been ""surprising"". Sally's husband is now in Singapore on business, so she had to spend her birthday without him. Considering her loneliness, we made every effort to please her and to encourage her; because she was loved by everybody for her gentle, kind and lovely character. She was not so lucky in her life. Her parents already died when she was in the high-school. She has no brothers and sisters. After marriage, Sally and her husband Nigel realized that they would not be able to have their children. In spite of such difficulties, she always shows a pretty charming smile to us. On June 2, because of Pat's fault, Sally already knew our plan. We were enjoying  at  home celebrating her birthday. Suddenly, the door was opened. ""Good Evening!"" ""Oh! You came back for me! Nigel"" Sally cried with pleasure. Nigel himself was a big ""surprising"" present for Sally. I never forget her happy face ..... We spent a brilliant night. ",25.0
234," Dear sir, I'm sorry to tell you, that I'm really disappointed of your advertisment for the musical show in the Circle Theatre. First of all, I was really looking forward to see one of my favourite actors Danny Brook in the show, but you had a different actor, what disappointed me very much. Also, the show didn't start in time, it started half an hour later. And you have written in your advert, that there would be discounts available, what wasn't possible this evening. After the show we wanted to visit the restaurant, but it was closed because of  painting-works inside the restaurant. Finally we had no  perfect evening at all! And  of these circumstands, I would like to have a part of my money back. I hope you understand my concern. Yours Faithully, Brigitte Beschle  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. Because he likes to tease people. So, it was last summer, we were on a short trip with our class to a adventure-park. We had a lot of fun. Until we came to a big cave, where you could walk through. It was quiet scary for me, but I said to myself, come on you can do it. I walked  first with Pat and two of my friends. But suddenly, there were only Pat and I left. We lost the others. So I tried to get not in  panic, but  no chance. I was so worried  not to find the way out, that I started to scream and cry. First, Pat started to laugh, but as he realized, that I didn't stop crying, he comfort me until I was calming down. And after a while we found the way out. I ask him, not to tell anybody that I cried. He said, 'shure no problem'. But next day, back in the classroom, some of the students looked at me and started to laugh. After that  was all clear, Pat and secrets. ",27.0
255," Mr. Maneger, In this unconfortable situation I am writting to tell you about some irratable problems. I went today to see Over the Rainbow, and I am very disappointed with the organisation of your theatre. First of all, when I went to buy my tickets I discovered that the advertisement was saying false things because there wasn't any discount available, but in anyway I bought the ticket. Then, the time marked to the beginning  was 19:30 and unfortunatly he began at 20:15. I have already, saw others versions of this musical and Danny Brook is a bad actor, who ended with the musical. Closing this facts, when the musical finished I was very , in the fact of the wainting for the start of the musical and  dissapointed with this version of Over the Rainbow, every body went to the restaurant wich is closed without any explanation. I am very dissapointed with this evening and with the desorganized way of deal with problems so I am asking  my money back. Yours faithfully  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. He has a bestfriend, that was more like a brother for him. They always done thing together, and they were the most popular boys in school, both were very hanson, played football they were the example for everybody. Before one day, when Pat discovered that his brother was gay, after this their relationship has change. Pat was very frightened with this situation. Pat and Ted, had always competition, and Ted used to be the best, he never had failed and people in general constums to like more Ted, I don't now why. This secret was an opportunity for Pat be the best without  competition but it is a secret who involved his best friend sexuality, and if Ted was a normal person it will be fine but he was the example for all  school. Unable to keep a secret he told for everyone, ended his friendship with Ted, now Ted is rejective for everyone, no one talks to him and Pat is the example, but without his best friend and his honestity. I  prefer be nothing than bun like Pat ",20.0
819," Dear Helen Ryan, First at all, I'd like to thanks  for the prize  Won. I'd like to know  USA. this prize came in a good time. I'd like to travell in july because I've got an examination at USP in Roo Cohelo in July. For it the only one that I can travel is July. And I'd like to stay in a log cabins because I can't bear sleeping in a tent, I hate this kind of accomodation. But I love sports. I'd like to play Tennis and  swimming these are my favourite sports. I can play tennis better  I can swim, because since I was I child I've been practising it. I've already Won three prizes about it. And I'd like to know about what kind of clothes to take and how much money to take too. I've never gone to  USA before. I hope I will have a good journey. Yours Sincerely, ALBiTO.  [SEP]  Shopping is not always enjoyable. We had a class discussion about shopping, for it I'm writing to tell about my opinion. I love shopping mainly when I am alone on when I am angry because I think it can help me to relax. When I  got plenty of money sometimes I like spend a bit of it with some friends or buying a good present for my girl friend. But if I haven't got enough money to spend or if I am sad shopping is not always enjoyable, because without money and  sad  is not a good idea to go to shopping. Normally I spend money buying some new clothes that I like more and shoes I love new shoes. One good idea  to go to shopping is when you  got plenty of money. ALBiTO ",28.0
785," Dear Mrs. Ryan: Thank you very much for your letter. I am so glad to know I won the first prize. Regarding your questions, the following are my answers. The only time available for me to travel is July, any time during the month suits me. I need to insist in it, because I am not able to take holidays during the rest of the year. I will love to be in a log cabin. They are more comfortable and really match with the enveiroment. It is not easy to chose from the list of activities, all of them look interesting. Although this is a new experience, I would prefer climbing and Photographe. The first one sounds like a great adventure, while the second will allow me to capture all the unforgettable views. In addition, I would appreciate  if you let me know what is the kind of clothing required for the Camp; if I need some money there and for what; and finally if the prize is just for me or if I can go with somebody else. Yours sincerely  [SEP]  Dear Kim: Finally I'm writing to let you know about the most exciting experience in my life. Can you believe that I was helping in the last Britney Spears's Concert? During the day I helped preparing her room, then she arrived, and I was there to continue helping. She was so kind with all of us, of course I asked her for an autograph. I hope to see you soon, I can't wait to show it . The concert was a big success,  lot of excitment. Everybody sang and danced, and I was there to see everything from the best position. Each time, when she comes back to the room, she asked for something to drink, just a diet coke, because she's always looking after her weight. Then she eat something small and she looks full of energy all night long. At the end, she took the time to say good by to all of the people helping her. I really think she's the best. But now, tell me about you. Don't be lazy and write more often. ",29.0
185," Dear Sir, I am writing to complain about the arrangements for the musical show ""Over the Rainbow"". I was spending some days in London and enjoyed a lot the idea of seeing this show. All my disappointment started when we noticed that there were no discounts available for the tickets, but as we wanted to see Danny Brook's performance, we decided to buy them anyway. We got really upset when we realized he was being substituted. The show was scheduled for 19:30 but it only started at 20:15. Besides the boredom of having waited for forty-five minutes, we were not allowed to visit the restaurant after the show, since it was already closed by the time the show finished. As it was not our perfect evening out, as you suggested in your advertisement, we would like to know if it would be possible for us to get a refund. I look forward to your response. Yours faithfully,  [SEP]  Best Detective Stories of Agatha Christie Dear Ted, I'm writing to tell you about a great book I've just finished reading, and which I'm sure you would like to read too. Its name is ""Best Detective Stories of Agatha Christie"", and I really got impressioned with the coherence of the stories. Agatha Christie presents situations that make us break up our minds. The crimes she describes seem so perfect that we brainstorm a lot trying to find out who is the criminal. I thought about you while reading the book because I remembered you have booked a place in a Detective course. I'm sure you'll find this book an interesting object of study. Agatha Christies stories are simple, but very well written, and, as I told you, very coherent. It's estimulating to read them. One of the stories will be read on the radio next week. I'm sure that if you listen to it you will start reading the book immediately, and find out there  many challenges for your new carreer. I'm looking forward to hearing from you soon. Best wishes, ",33.0
342," Dear Sir or Madam, I write you this letter to complain about your musical show. First of all, the show began three quarters of an hour late: it started at quarter past eight instead of half past seven, what of course was very bothering. I went to your show to see Mr. Danny Brook, who was supposed to play the main character, but he didn't appeared. He had been replaced by a really bad actor,  whom I don't even know the name. I was very disappoint of that change, because Mr. Brook is one of my favourite actor. There were supposed to be discounts for the tickets, what appeared to be wrong to. I had to pay the full prize for them, which was quite expencive. My wife and I had decided to eat at the theatre restaurant after the play. It turned  to be impossible: the restaurant was closed and we didn't even received an explaination therefor. I had a really bad evening and would like to ask you for my money back. Waiting for your reply Yours faithfully Pierre Gaussier  [SEP]  In my opinion modern technology has changed my life a lot. First off all, if computers haden't been invented, I wouldn't spend half of the day in front of it! I use my computer for many things, such as homeworks, games, digital video or  Internet. The developpement of portable communication systems, such as mobile phones has greatly changed our way of life. It is now possible to talk to a friend almost everywhere and everywhen, even if we are two thousand kilometers away from each other. Precision industry has changed my life a lot too. I practicate Scuba Diving during the week-ends and hollydays. That wouldn't have been possible a century ago, because all our material, such as dive computers, tanks or regulators didn't existed at that time. I think that we live easier now (thanks to modern medicine) and that our lives will get easier with the time. ",26.0
877," Dear Miss Ryan, I am very glad to hear that I have won the prize and thank you very much about that. Here is the information you want, I hope they are useful. First of all, July is the only month I can travel, because I have got exams at school and I won't finish them until the last day of June. And in August, I have to go back to school to do some classes work and I have got a camp to organise. So I would like to travel on July. Secondly, I would prefer the accommodation  in tents. Since I haven't been camping in tents so I would like to take this chance to feel and experience what will it be. About the activities, I chose swimming and climbing. I am in  swimming term a school and I won a prize last month. Although I'm not good at climbing, I want to experienced  myself. I would like to ask what is the weather in  USA like and what kind of clothes should I wear? And I was wondering how much money do I have to take? Also, if I can join climbing, what do I have to bring? At last thank you very much for answering my questions. Yours sincerely,  [SEP]  Dear Kim, It was lovely to hear that you want to hear about my experience. I helped  the concert which was my favour singer's concert. I helped with the piano part in that concert. At the concert, I had to play 4 songs and I had never played in a concert before, so I felt very nervous before the concert. But it was a good experience for me because I learnt how to claim down and play well in front of the audience  the concert. And also I have never played the piano with the singers before, and after that it makes me more confident and improved my skills a lot. When the concert finished my favour singer talked to me & they invited me to play the piano in their next concert and they said that because I performed will in that concert. They taught me a lot about playing piano as well. At last thank you for sharing my experience. I am looking forward to hearing from you. Best wishes Yours sincerely, ",27.0
401," Dear Sir. I'm sorry to say it but your musical show was very disappointing to me. I was very disappointed. Lot of things that you have written at the advertisement are not true. You writer that the actor was going to be Danny Brook but he wasn't there. A different actor was played and this was very disappointing to everyone. Also the show did not start at half past seven o'clock as it was said but at eight and fifteen o'clock. Everyone get bored  until the show start. About the discount that we are going to have. Why it does not make to us? I am also wondering why you told us to visit your theatre restaurant after the show. as it was closed. Everyone after the show run to take a good seat at the restaurant but everyone  disappointed when they see the sight which said ""Close for today"". That evening wasn't my perfect and I have to say that I want my money back because the show was a disaster. I'm really sorry I am saying this but  is the true. I am hoping that you will not make such mistakes again. Yours sincerely  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. Pat is a friend of mine and we are friends for almost a year. She is a very good girl and she can deal with every promblem she has. It was Saturday when I called her and told her to go for a walk at the park, which was not very far away from our houses. I had never told her a secret before but this time, I was going to tell her. The secret was about our friend Maria who was very kind with everyone I told her that I have heard that Maria had concern. Pat told me that she would not told that to anyone but the other day I learnt that all the school had known about Maria. I was sure that  was Pat who told it to everyone. After that I had an argument with Pat and then she told me that she said it only to one person. I was very sad with what Pat do and I didn't speak to her for a long time. But now we are friends again but I will never say to her a secret  in my whole life. ",24.0
1084," Dear Mr Robertson, Thank you for organising  good programme,  especially like sightseeing from River trip to Greenwich in London for three days. I am writing on behalf of my classmates to give  the information of 'The London Fashion And Leisure Show' which we would like to go  and to huggest our opinion. We have seen an advertisement of last Saturday 'The Times' edition of the show. It will be held in Central Exhibition Hall, London or Tuesday March 14 from 10.00 to 19.00. Firstly, it will introduce  latest fashions connecting Millenium. Secondly, we will be able to see leisure and sports wear about fashion trend of next year. It would be  fantastic opportunity to the students who study a fashion. Finally, we can see how to  make up and make better hairstyle in the show. Most of all, It is free for students to enter. We would like to know if it is possible to change your programme. We would be grateful if we could go there in the afternoon on 14 March because we are able to go shopping. We look forward to hearing from you. Yours Sincerely,  [SEP]  It was dangerous, but I knew I had to do it. Whenever I recollet it, I feel self-confident. When I was twenty years old, I had to go to  Army. As you know, my country has been separated into two countries (South and North Korea). However, instead of going to  Army, I was able to apply to  Korea Auxiliary Police. One year later, I was working in Kang-nam police station in Seoul. Suddenly, the theft signal came into. So, another policeman and I had to arrive at the accident place quickly. When we arrived at the place which it happened, one man started running away. Without any thought, I ran quickly like a swallow. Then, he tried to go over the wall, I held his leg. He fell down and we had to stare at each other. After we fought for a minute, I was able to arrest him. As a result, I could go on vacation. When I said to my mother, she asked me not to do it again. But, I was a police-man. Therefore, I had to do it in spite of it being dangerous. ",23.00
606," Dear Mr Helen Ryan, I am writing to you and reply the answers from your letter. I was glad to hearing the news from you and thank you very much! When you mentioned the period of my travelling I'm afraid I  only free in July. Because I go on holiday in July naturally, and I have two terms in June and August. Therefore, I hope that you could make  suitable arguement between you and me. Furthermore, I would like to stay in log cabins which I could feel  more American style of the accommodation. In addition, there should not  too hot inside during July. If I get two choices, I would like to go swimming and take photographs. Because I grew up in my home town that is a seaside city. I was starting trainning since 1996, and I have never give it up. Esepically, it is really good for my healthy during the growth period. Photography is my hobby that is taken in my spare time. I can remember that I used to take photographs on the exhibitions or during the holidays. It must be nice for my memories when I am older. In addition, it could showed people how nice the places  are and the views I have got. Therefore, I would like to do those two activities. Finally, I would like to know  the weather in California. Do I need take too much clothes? Could you tell me that the amount of money I can bring during the holiday? I look forward to hearing from you! Your sincerely SHE DUNES  [SEP]  Shopping is not always enjoyable Shopping is concerned that people exchange from money to their demands. There are more and more retailors are opening to customer. Therefore, people used to shopping weekly or monthly. In my opinion, women are really enjoying shopping. It seems a human activity during their spare time. However, we are going to change  traditional system to the ""e-shopping"". It is new for customers by technology they can switch on the computer and click everything they want. Therefore, it looks like a service and  also boring for  customer. I think most of gentlemen dislike shopping. They are always waiting for a long time after women finish their shopping. I believed that most of busy people want go shopping by the easy and quick way. Because they don't like waiting for payment and waste time of life. Therefore, they would like to use ""e-shopping"" which is getting better for their time. The life style has change already from  past. Shopping is  common activity in their life. We must focus on the specific life style, which will make us enjoyable.  In conclusion, I believe that shopping only waste time for human life. And you couldn't get back any more. ",20.0
