,tokens,labels
0,"Dear Sir or Madam , I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .",1
1,I saws the show 's advertisement hanging up of a wall in London where I was spending my holiday with some friends .,1
2,"I convinced them to go there with me because I had heard good references about your Company and , above all , about the main star , Danny Brook .",1
3,"The problems started in the box office , where we asked for the discounts you announced in the advertisement , and the man who was selling the tickets said that they did n't exist .",1
4,"Moreover , the show was delayed forty-five minutes and the worst of all was that Danny Brook had been replaced by another actor .",0
5,"On the other hand , the theatre restaurant was closed because unknown reasons .",1
6,You promised a perfect evening but it became a big disastrous !,1
7,I would like some kind of explanation and receive my money back .,1
8,"If you do n't agree , I will act consequently .",1
9,I look forward to hearing from you .,0
10,"Yours faithfully , Unfortunately , Pat was n't very good at keeping secrets .",0
11,Last Wednesday Carole received a letter .,0
12,The stamp was from a foreign country and the address was written in Capital Letters .,0
13,She did n't recognize the writing .,0
14,She began to read Dear Carolin. .,1
15,There was only a person who used to call her by this name .,1
16,It brought a lot of memories back to her .,0
17,"It was long time ago , when she was fourteen and Paul sixteen .",0
18,He was her first love and also the first who kissed her .,0
19,Paul had to move to Mexico because of his father 's work .,0
20,"When they were saying goodbye Paul "" I will be the last person who will kiss you "" .",1
21,""" It sounds nice but I do n't believe it "" she replied .",1
22,""" You only have to wait "" he said .",1
23,But she did n't wait .,0
24,She got married and had two children .,0
25,At this moment Carole was living with her husband but they did n't love each other any more .,1
26,Their love had finished .,0
27,In his letter Paul said that he had become a rich man and he would come back to meet her again .,0
28,Her friend Pat had explained the whole story at her husband .,1
29,What she would do ?,1
30,"10 June 2000 Dear Manager , I would like to complain about your theatre and the musical show that I saw last week .",0
31,I went to London for a holiday last week and read the advertisement about ' Over the rainbow ' in the hotel which I stayed .,1
32,I saw Danny Brook and Tina Truelove were written on the advertisement paper and was very excited .,0
33,"However , Danny Brook did not appear on the stage until the end of musical showing time .",0
34,I was really disappointed about it .,0
35,"Secondly , starting time was 19:30 but it started 20:15 so I was waited for 45 minutes .",1
36,It was so long time to wait in the theatre .,1
37,"Thirdly , it mentioned about discounts .",0
38,"Despite of the fact that I am a student , I could not get any discounts .",1
39,I also visited your restaurant after the show but already closed because the show finished late .,1
40,"Because of the reason above , I , indeed , spent awful last night in London .",1
41,"I would like you to refund , otherwise , I will take an action .",1
42,I look forward to receiving reply to my enquiry .,1
43,Sincerely Fashion of the future People will wear this kind of clothes 100 years later from now .,1
44,If weather is hot then we do n't have to wear under wear because very thin and light clothes will support our bodies .,1
45,There will be two functions for summer clothes that we do n't need to wear clothes like layer and layer .,1
46,"For example , T-shirts for women are included bra : easy to take it out when you wash it , is very simple and comfortable .",1
47,What about short pants ?,0
48,You do n't have to wear knickers .,0
49,We can just put some thin pads in there .,0
50,We ca n't feel it and easy to remove and just can wash it .,1
51,Simplest is the best in summer !,0
52,"When it 's very cold winter , we just wear light clothes what we want , in our style .",1
53,Because special warm and healthy material will be developed and use them inside thin clothes so we do n't need to put heavy clothes on our bodies .,1
54,We can show our body line in winter as well .,1
55,Most important thing is that we do n't have to kill the animals only for people 's cruel aims .,1
56,Functions ' clothes are the way to love animals !,1
57,DECEMBER 12TH PRINCIPAL MR .,0
58,"ROBERTSON DEAR SIR , I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US TO THE RIVER TRIP TO GREENWICH .",1
59,I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH .,0
60,IT CONSISTS ON VISITING THE LONDON FASHION AND LEISURE SHOW IN THE CENTRAL EXHIBITION HALL .,1
61,I THINK IT 'S A GREAT OPPORTUNITY TO MAKE GREATER USE OF OUR KNOWLEDGE OF ENGLISH LANGUAGE .,1
62,"ON THE OTHER HAND , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL .",1
63,I SUGGEST THAT WE SHOULD GO TO THE NATIONAL ART GALLERY IN THE MORNING AND INSTEAD OF HAVING THE AFTERNOON FREE WE COULD GO TO THE FASHION AND LEISURE SHOW .,0
64,I WILL BE WRITING ANXIOUSLY FOR YOUR RESPONSE .,1
65,"YOURS FAITHFULLY ( FAMOUS PEOPLE , SUCH AS POLITICIANS AND FILM STARS , DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS FOLLOWING THEM ALL THE TIME ) FAMOUS PEOPLE SUCH AS SINGERS , FILM STARS , ETC ARE ALWAYS THE CENTRE OF ATTENTION .",1
66,"AS SOME OF THEM ARE CONSIDERED IDOLS , THEIR FANS WANT TO KNOW HOW THEY ACT IN THEIR PRIVATE LIVES , WITH THEIR FAMILY OR FRIENDS .",1
67,"AS A RESPONSE TO THIS DEMAND OF INFORMATION , JOURNALISTS FOLLOW FAMOUS PEOPLE DAY AND NIGHT IN MANY DIFFERENT WAYS , FOR EXAMPLE , CHASING THEIR CARS , TAKING PHOTOGRAPHS OR BREAKING INTO THEIR HOUSES WHILE THEY ARE ON HOLIDAYS .",1
68,"THIS SITUATION AFFECTS FAMOUS PERSONAL LIVES BECAUSE THEY ARE NOT ALLOWED TO HAVE PRIVACY THE MOST IMPORTANT THING IS THAT , ALTHOUGH THEY ARE FAMOUS , THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME , AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE FAMOUS RIGHT TO KEEP THEIR PERSONAL LIVES IN SECRET .",1
