,essays,labels
151," Dear Sir During my holidays in London I went to see your musical show. It was a very unpleasent evening. First of all, it had read on the advertisement that Danny Brook was starring at this show. But someone else participated instead of him. The other actor was very disappointing. The second problem was the start of the show. It began at 20:15 and not at 19:30! That's almost an hour later. I had read that there would be available some discounts, but I became none of them. The restaurant should had been oppened when I came out, but it was closed because of the hour the show finished. It wasn't a perfect evening at all. I hope you can understand my disappointment and   ask for my money back. Faithfully yours,  [SEP]  In our days, nobody can live without technology. My day, for example, begins with a lot of noise. The timer of my radio wakes me up at half past six. I stand up, go  the kitchen and prepare myself something to eat in the microwave. After breakfeast I have to use my car to get to school. Without my car I would always reach late. At school the computer has become an important new tool. I use it to make compositions, to print some pictures or to surf on the internet. After school I relax in front of the TV and talk a lot with my friends per  telephone. Without these technology I would get realy bored. Now, I loose less of time and can use the technology to enjoy myself. ",25
396," To whome it may concern, I am writing to tell  that I had a very disappointing evening regarding a musical show at your theatre. There are some things that I was not completely satisfied with and I would like to point them out. Firstly, the advertisement told that Danny Brook was going to starr in a musical but it turned out  a completely different person which was very disappointing. It was very unprofessional of you to had printed a wrong starring name on the paper. Secondly, according to the advertisment, the musical was supprsed to start at 19.30 but it actually started at 20.15 which caused me a trouble. As for my ticket, I was expecting to get a discount as a student, as it said so in the advertisement, however, it was not actually available which was very disappointing again. Then, I was hoping to have a meal at the theatre restaurant which was recommended in the advertisement, however, it was not possible for me to do so as the restaurant was closed due to the stuff vacation which I thought was very unprofessional. With all the dissatisfuction above, therefore, I would like to ask for some of my money back as my evening was not what it would have to be. I hope that you will consider this letter seriously and try to improve your service. Yours faithfully,  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. How did we know that she was that kind of person? Well, it all begun when Pat's friend, Molly, went down to London... Molly went down to London for  shopping and as she was walking  the street. She found  familier faces on the other side of the street. It was Vance and Sally whom she had not seen for ages. Pat, too, are  friend of them and has seen them  time to time. Molly, Vance and Sally had a quick chat and said good-bye to each other as, to Molly, they seemed to be in a hurry and as Molly knew that they have been dating, she wanted them to enjoy their own time . After Molly went back home in Aberdeen, she told Pat that she had met Vance and Sally in London. Then suddenly, Pat's face turned to look confused and  said in a small voice, 'Haven't they broken up  long time ago? Sally must have a new boy friend'. As Molly didn't know this, she was so surprised and tried to ask more about it. Then, Pat realized that it was supposed to be kept as a secret but it just came out of her mouth! She didn't mean to do so, but this kind of thing happens a lot. Now Pat is feeling so guilty about what she has done because Molly isn't good at keeping secrets either! Everyone is going to know that Sally has been cheating both on Vance and her new boyfriend and the Poor Vance is always the last person to know it.  ",32
893," Dear Helen Ryan. I am writing to reply  your letter about my first prize in your competition and give you all  information for my two weeks at Camp California. First of all, I  prefer travelling in July, because it will be my school vacation and I'm not allowed to travel during school times. It'd be great if I could be accommodated in  tents, because I've never slept in  tents before, and I think it is an interesting experience. Secondly, the two activities wich I'd like to pratice during the campsite are sailing and surfing. I have already surfed when I was travelling in Brazil, but since them I have hadn't a chance to do it again. Although I know how surfing, I have no idea about sailing, I just only read about it and I am very interested  to practice. Is there any problem? I'd like to ask you some questions: Is  necessary bring  money to the Camp? How much? And about clothes? What is more appropiated? Finally, I want to thank you for the great opportunity I look forward to hearing from you. Yours sincerely. Camila Beatriz de J. Branco  [SEP]  A programme  not often good. Shopping is said that an enjoyable programme in all situations. However sometimes it isn't so wonderful as it seems to be. When you go to a sale shop it is dificult to find what you look for without a help of the shop assistant. The problem is find a shop assistant who hear  your problems and can help you. After that you have to wait a long time in the qeue to pay and many times  isn't possible pay with your credit card and you don't have a money in cash. So you had lost hours to buy nothing. You can't talk to  manager even to give him suggestions  to improve his business, because he is always absent. And don't try to complain to someone else because they won't hear you. To conclude, although you can have good moments while shopping all of us know that it is not always enjoyable, isn't it? ",29
788," Dear Mrs Helen Ryan, I'm writting to you to answer the letter in which, as you probably know, you congratulated me for having won first prize in your competition and tried to encourage me to travel to California and attend that Camp. I'm going to give you all the information you need from me. I only can travel I July, because it is when I stop playing basketball to rest before starting the new season. I don't mind staying wherever you want me to. However, I prefer log cabins to tents. They're more comfortable. According to the activities I would love to play basketball. I'm used to playing it, and I'm quite a good player. The other activities don't appeal  me much, but I'm quite good at Golf. I like surfing and playing tennis,  such as sailing and climbing. Please, don't make me sing or paint, because I'm not very keen on it. there'are no more questions. Yours sincerely  [SEP]  Dear Kim, I'm writting to you to tell you how much I enjoyed last Saturday. It was such a beautiful night! Unforgetable. I had always dreamt of being near ""The Cranberies"", but I had never thought that the dream could became reallity. During the afternoon, Tim and me spent the hours before the concer laying on the park next to the sport hall where the concert was to be held. AT seven o'clock on the dot we went there for starting queueing. We bought the tickets and then we sit down to rest. After a few minutes the dream happened: Kare - the guitarrist - appeared over there. At first we both thought we were dreaming but when we realised it was true we went there and ask him some questions. And then we bring his guitar for him. It was great to help him. Finally he said how thankful he was and alowed us to stay with them till the concert started. That's all. I'm looking forward to hearing from you. Aladdin ",30
428," Dear Sir/Madam, I am writing to complain about the musical show advertised in your latest leaflet. First of all, I would like to say that it was the worst performance I had ever seen and it disappointed me very much. Although your advertisement stated that the main actor would be Danny Brook, it was not him and a different man  was not prepared for the role. Secondly, you advertisement stated that the second show should start at 19:30. It was not true because the audience had to wait until 20:15. Then, I did not get a discount and I had to buy a full-price ticket, although I am not  adult yet. Finally, I was hungry after waiting for the show and wanted to order something to eat. It was, however, impossible because the theatre restaurant was closed for unknown reasons. I would like you then to send the money back to me because I did not enjoy the show at all and the ticket costed a fortune. I am looking forward to hearing from you. Yours faithfully,  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. She heard from her friend Jon that Paul, the worst pupil at school, had thrown an enormous frog inside the desk of Miss Colston, their English teacher. Miss Colston was an old woman, who wanted her pupils to understand and admire English novels and poems. But the children were bored during her lessons and Paul was very disappointed that she didn't read any funny stories. So he decided to scare the old woman away from school. Now he thought it was stupid to tell Jon about it, as he was the best friend of Pat. ""Oh, that girl will cause some problems"" - he thought when Miss Colston entered the classroom. She approached the desk and wanted to open it, but suddenly Pat shouted - ""Miss Colston, please, don't do that. There's a frog"". The teacher stared at the whole class and calmly whispered - ""Who did it?"" ""Oh, God"" - thought Paul - ""the next time I will throw a frog inside Pat's rucksack."" ",40
510," Dear Mr or Madam, I am writing to express my dissapointment about the play ""over the rainbow"" which is performing at  Circle Theatre. First of all, the advertisement for the show announced Mr. Danny Brook as the principal actor. Surprisingly, he never appeared on the stage, during the play. Therefore, the theatre or the company is lying. Secondly, the show started one hour  fifteen  past after. We arrived at the theatre in time and we had to wait all that time until the show began. Finally, when I asked about the discounts, an agressive employee refused to answer me. He stayed looking at me and laughing. It was incredible. The evening was a horrible surprise, completely different from the promise written in the advertisement. Defineteley, I want my money back as soon as possible. I am looking forward to hearing from you Yours faithfully  [SEP]  ""Unfortunately, Pat wasn't very good at keeping secrets."" I knew that but I would prefer to trust her so I told  everything about Lynne Harter, our new collegue at school. However, I have to admit that I told her my own opinion. Well, it was the beginning of my tragedy. So, I told Pat that Lynne was ugly, fat like a cow, and extremely agressive. But I couldn't shut my mouth, I continued: ""You can't believe it Pat, she wears trousers like  men and green flowery blouses"" Of course, my friend and I were laughing during half an hour. Two days after, when Pat came back to my school and she met Mr Harter, our head teacher, she told  everything about Ann1. In that precisely moment I realized that I had forgotten to tell her that Ann was Mr Harter's niece. I know it's my fault. But, well,  unhappiness started with Pat and my reveilled secrets. ",29
229," Dear Mr Smith, I'm terribly sorry but I would notice you about a very disappointing evening. I'm sure you'll read this letter, with the intention of explaining the problems  had during the musical show of his theatre. One of the causes of my disappointing was the different actor that played  the show. I like very much Danny Brook, and his unaspected absence caused on me a big sadness. Then,  musical show had to start at 19,30..why at 20:15 there was also the light on? You'll be agree with me that 45 minutes to waiting for the starting of the show is a too long time. The advertisement for the show indicated discounts available and  open restaurant after the show but it wasn't in this way. The restaurant was closed 'cause of illness.. of who? It's  strange thing! For those reasons I ask you for some money back, sure of my good reasons. Greetings  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. It's for this reason that now I'm in this terrible situation. I can't believe she said that, I was at the Maria's party and 'cause of my distraction, I said Pat that I had lost the Jon's shirt. I was agree to buy another one, of the same style, but now he's angry with me, 'cause I didn't say anything to him. I don't know how to do. He's my best friend and so he wanted from me all the truth I can give him. It's all right, but I also think that he's too exagerate. I don't think  of having done  a so bad thing  to broke our friendness. I feel sad and shocked. I like his company, and we are happy when we are togheter. I can't finished  'cause of a girl that can't keeping a simple secret. ",20
492," 17th June 2000 Dear Sir or Madam, I am just coming back from a week's holiday in London, which has been all in all really nice. The only thing which really disapointed me was a visit in your theatre where I wanted to see the musical 'over the rainbow', after I read the advertisement for the show. The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they weren't, different actors played and to be honest they made the hole show very bad. Also the show was supposed to start at 19.30 but finally it started at 20.15 and that is such a waste of others people time. Another thing was that you said discounts are available which is very important for students, but no their weren't any. Also after the show your restaurant was closed because their wasn't enough staff. To be honest that was not a great expierence and I hope you will see my point. In that case I also want to ask you for my money back. I think you will understand that and   looking forward to hearing from you. Yours faithfully T. Herschel  [SEP]  How has modern technology changed your daily life? Since everyone can afford modern technology the life of everyone in the more developed countries has changed completly. We can't imagine to live without it anymore because we are so dependent of it. It starts already in the morning that we wake up by the sound of an alarm clock, than in the bathroom we have running hot water and also the hole house is warm due to central heating. Then we can just go to the fridge where all the fresh food is stored ready to eat. If we than want to go to work we don't have to get our horse, no, we get the car keys and go where ever we want to. At work we have the most important thing in the world of technology, the computer. Without that we can't do anything today. So in the last century our daily life changed dramandesly and we became lazy and our life unpersonal, fast and unromantic. Noone can think about a life without commuters or electricity. But we can't say the new technology has done just bad things in our life because otherwise we couldn't have made such progress in all the sciences and other subjects ",31
165," Dear Sir/Madam, I am writing this letter to you in order to complain for the musical show ('Over the Rainbow') that was performed at your theatre last week; concretely on Friday evening. First of all, I should say that I had read fantastic reviews of it in several newspapers, specially regarding the starring actors' superb performances. These were in perfect agreement with my previous opinion about your company, which is said to be the best exhibitor of musical shows in Europe. With all these considerations in mind, I attended  the referred day to your theatre with the aim of having a perfect evening. However, nothing was further from what really happened. In the beginning, it was impossible to obtain any of the offered discounts, even though I presented an official ISIC card. Then, the audience had to wait 45 minutes over the announced timetable for the show to get started. And finally, when it went on, we realised that there was not Danny Brook performing, which was really disappointing. I hope you realise this was totally different from what you advertised, and I look forward to hearing from you in the very near future offering me some money back. Yours faithfully, Jaro Santoquez  [SEP]  Nowadays we can see a very different world from the one our grandparents, or even our parents, were living in. Actually, whereas they used to talk about how their daily life had changed in comparison with previous generations', we remain astonished looking  how our lifes are changing frenetically. We have hardly assimilated a new technology when it is replaced or modified by another. Electronic devices and 'gadgets' make our daily life more comfortable and easier, but does it means that we live better than ever? Of course, they have liberated us from a lot of tough routines, giving us the chance to have more free-time. However, instead of enjoying this fantastic opportunity, people have become hooked on technological advances, feeding back their development in an accelerating, non-stopping race. Machines do now most of  hard work, but this does not mean that we are working less. People spend more and more time working, searching for new inventions that will make life easier, but then fail to profit  all the obtained benefits. ",33
1211," Dear Mrs. Smith, I am writing in reply to your letter about the internation student conference. The hotel which we have reserved for your group is the Palace Hotel. It is not far from our college, taking 20 minutes by car. It would be a good idea to take a taxi from the hotel to the college because the total  members of your group are 4 and  taxi fare would not be expensive. There is a taxi rank opposite the hotel. Regarding the end-of-conference party on Thursday, it starts at 7 p.m. in the garden of the college. You can wear either casual dresses or fancy ones because we have a fancy-dress competition and the raffle is a bottle of French champaign. On Friday afternoon, it has set to be a free time. Therefore, you can go shopping in the town centre which is near the college. Many beautiful and traditional souvenirs can be found there. The other suggestion is going to the flower market where is very famous for tourists because it covers 2 acres and there are plenty of flowers to buy. Moreover, it is the biggest flower market in this area. I look forward to meeting you soon and hope you have a safe journey. Yours sincerely,  [SEP]  Invented Light There are many sources of light in this world such as sunlight, moonlight, candle light. Some of them are natural whereas the others are not. Owing to  increasing demand of light for more activities, the natural source is not adequate. There, electric light has invented. Nowadays, the electric light has been becoming part of our lives, especially during the night. Whatever we do at night, we need the electric light. Have you ever imaged how this world would be if there was no electric light? It must have been a big impact on industry, agriculture and our lifestyle. Think about when the electricity in your house got a short circuit. Do you feel uncomfortable? Could you do anything much without light? In addition, the electric light is the manuscript of other electric equipments and they has become an important part of our life, too. I think we should be grateful that we have got the electric light for comforting our lifestyle. ",30
