,eval_loss,eval_accuracy,eval_f1_score_avg,eval_f1_score_macro,eval_f1_score_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.09512725472450256,0.9686343989720027,0.9686343989720027,0.797116404251089,0.9675520525656632,3.1726,83.844,10.717,1.0,133,,,,,,,
1,0.055401165038347244,0.9845800397180795,0.9845800397180795,0.906693452797957,0.9844537978047355,3.147,84.526,10.804,2.0,266,,,,,,,
2,0.04981609061360359,0.985495113118648,0.985495113118648,0.9108341844332002,0.9854589607459773,3.1443,84.597,10.813,3.0,399,,,,,,,
3,,,,,,,,,3.76,500,0.169,0.00037468671679198,,,,,
4,0.040040746331214905,0.9889217709590749,0.9889217709590749,0.9357342668785241,0.9889127576276572,3.1635,84.083,10.747,4.0,532,,,,,,,
5,0.03803003951907158,0.9896810871850784,0.9896810871850784,0.9393780419575687,0.9896997972093848,3.149,84.471,10.797,5.0,665,,,,,,,
6,0.03817418962717056,0.9897589657723609,0.9897589657723609,0.940179548137696,0.9897852795568495,3.1508,84.423,10.791,6.0,798,,,,,,,
7,0.035835351794958115,0.9904404034110821,0.9904404034110821,0.944044050593143,0.9904350181731145,3.1599,84.18,10.76,7.0,931,,,,,,,
8,,,,,,,,,7.52,1000,0.0334,0.0002493734335839599,,,,,
9,0.03763214498758316,0.9894863907168724,0.9894863907168724,0.9392070092925882,0.9895217400983751,3.1535,84.35,10.782,8.0,1064,,,,,,,
10,0.035419680178165436,0.9907713874070324,0.9907713874070324,0.9456002106006992,0.9907450654136076,3.1744,83.795,10.711,9.0,1197,,,,,,,
11,0.03573467954993248,0.9909271445815973,0.9909271445815973,0.9474180270450988,0.9909061697622734,3.149,84.472,10.797,10.0,1330,,,,,,,
12,0.034581851214170456,0.9911802499902652,0.9911802499902652,0.9478755724893855,0.9911603833658095,3.1547,84.319,10.778,11.0,1463,,,,,,,
13,,,,,,,,,11.28,1500,0.0228,0.00012406015037593984,,,,,
14,0.033962029963731766,0.9913165375180094,0.9913165375180094,0.9484000570433851,0.9913452377216952,3.1718,83.864,10.719,12.0,1596,,,,,,,
15,0.03337133675813675,0.9917448697480628,0.9917448697480628,0.9495980158973641,0.99170728231761,3.1464,84.54,10.806,13.0,1729,,,,,,,
16,0.03323458135128021,0.9916669911607804,0.9916669911607804,0.9502631849533874,0.9916824025949077,3.1504,84.434,10.792,14.0,1862,,,,,,,
17,0.033207446336746216,0.9917838090417039,0.9917838090417039,0.9505185336387645,0.9917858282931599,3.1612,84.146,10.756,15.0,1995,,,,,,,
18,,,,,,,,,15.0,1995,,,391.8976,40.457,5.091,4021826565657600.0,0.06033448360318827
19,0.09191916137933731,0.9817379132120168,0.9817379132120168,0.8933539427468631,0.9821696245386071,2.893,83.995,10.715,15.0,1995,,,,,,,
