,eval_loss,eval_rmse,eval_pearson,eval_spearman,eval_kappa,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.0639400482177734,15.992877960205078,0.6312816007917241,0.6485138186347885,0.0975589307129694,0.8266,95.572,12.098,1.0,133,,,,,,,
1,2.063619613647461,29.48932456970215,0.6916481731425944,0.6608857315003552,0.058588898712973125,0.816,96.817,12.255,2.0,266,,,,,,,
2,2.0634944438934326,31.785675048828125,0.6600512899889543,0.6759157978882621,0.050371962814313,0.8154,96.882,12.264,3.0,399,,,,,,,
3,,,,,,,,,3.76,500,2.0643,3.49874686716792e-05,,,,,
4,2.0639636516571045,27.122087478637695,0.6493531119107683,0.6595187048032786,0.056718861397903275,0.8226,96.034,12.156,4.0,532,,,,,,,
5,2.063676357269287,20.450929641723633,0.6623002107603293,0.6742130411696,0.08045371607735252,0.8225,96.052,12.158,5.0,665,,,,,,,
6,2.063272714614868,30.856138229370117,0.694683778057163,0.7150141653640903,0.05302090817153016,0.8165,96.751,12.247,6.0,798,,,,,,,
7,2.063236713409424,23.778514862060547,0.6676404919394066,0.6613569725555734,0.0536417394740889,0.8233,95.957,12.147,7.0,931,,,,,,,
8,,,,,,,,,7.52,1000,2.0572,2.99749373433584e-05,,,,,
9,2.061570405960083,18.63133430480957,0.6869172829833164,0.7055779475388448,0.0841051173585895,0.8181,96.567,12.224,8.0,1064,,,,,,,
10,2.0587852001190186,15.597387313842773,0.6755270651617077,0.67471773740663,0.12642244630684596,0.8114,97.358,12.324,9.0,1197,,,,,,,
11,2.049471855163574,9.646931648254395,0.6659302491456306,0.6831586082427106,0.23751302819360398,0.8246,95.8,12.127,10.0,1330,,,,,,,
12,2.025245189666748,4.5963664054870605,0.6829589546390505,0.6772193775953005,0.6602529387404033,0.8199,96.351,12.196,11.0,1463,,,,,,,
13,,,,,,,,,11.28,1500,2.0437,2.4962406015037596e-05,,,,,
14,1.962357521057129,5.087836265563965,0.7137619741084108,0.7314432650399694,0.5904479853679512,0.8148,96.951,12.272,12.0,1596,,,,,,,
15,1.8142383098602295,5.879593849182129,0.688710624468428,0.6991183375845665,0.5144999460012651,0.817,96.689,12.239,13.0,1729,,,,,,,
16,1.507207989692688,4.746750831604004,0.6595508620467929,0.6663858932602047,0.5753782719140006,0.8155,96.87,12.262,14.0,1862,,,,,,,
17,1.0405100584030151,5.329639911651611,0.6900482311874311,0.6851751010841494,0.5574789324822027,0.8207,96.263,12.185,15.0,1995,,,,,,,
18,,,,,,,,,15.04,2000,1.6785,1.9949874686716792e-05,,,,,
19,0.5683889389038086,4.176486015319824,0.6988954994760318,0.7011132801677445,0.673771068203751,0.8191,96.442,12.208,16.0,2128,,,,,,,
20,0.27748218178749084,6.857501029968262,0.7010307085681825,0.7171451002311587,0.4427337430568755,0.8178,96.596,12.227,17.0,2261,,,,,,,
21,0.11550821363925934,4.873072624206543,0.6816753355330007,0.6860385083243051,0.576027647671539,0.8254,95.712,12.115,18.0,2394,,,,,,,
22,,,,,,,,,18.8,2500,0.3661,1.493734335839599e-05,,,,,
23,0.05542246997356415,5.219244003295898,0.6830325262923316,0.6946475106258414,0.5671420910885631,0.82,96.338,12.195,19.0,2527,,,,,,,
24,0.029572466388344765,4.901562690734863,0.6654812974361698,0.6884644764029935,0.5795179341190121,0.8258,95.663,12.109,20.0,2660,,,,,,,
25,0.023029014468193054,5.349790096282959,0.6651425010476242,0.6705048234936888,0.5100438376550898,0.8169,96.707,12.241,21.0,2793,,,,,,,
26,0.019124571233987808,5.255497455596924,0.67358135238727,0.6770717269306807,0.5456975710440096,0.8097,97.566,12.35,22.0,2926,,,,,,,
27,,,,,,,,,22.56,3000,0.0153,9.924812030075189e-06,,,,,
28,0.020147280767560005,5.6028923988342285,0.6546256742293614,0.6651330084324127,0.5102102753089096,0.8141,97.041,12.284,23.0,3059,,,,,,,
29,0.018673257902264595,5.399250030517578,0.6782877463691207,0.6881641835802145,0.5327775740928843,0.8134,97.125,12.294,24.0,3192,,,,,,,
30,0.016103381291031837,5.09529447555542,0.6758370910167335,0.6830334782736157,0.5733198566343805,0.8147,96.963,12.274,25.0,3325,,,,,,,
31,0.018966155126690865,5.4968342781066895,0.6784427255092204,0.6848690300558907,0.5146932030464146,0.8166,96.746,12.246,26.0,3458,,,,,,,
32,,,,,,,,,26.32,3500,0.0024,4.912280701754386e-06,,,,,
33,0.02052646316587925,5.736845016479492,0.6838018538221681,0.6983743799355057,0.5016310176149903,0.814,97.053,12.285,27.0,3591,,,,,,,
34,0.018483253195881844,5.516373634338379,0.6757355381685197,0.6848758587817425,0.5259776124366355,0.8133,97.14,12.296,28.0,3724,,,,,,,
35,0.01722036302089691,5.255497455596924,0.6736637817566511,0.6862240945242333,0.548816044285578,0.8159,96.829,12.257,29.0,3857,,,,,,,
36,0.017231769859790802,5.194934368133545,0.6843810059985469,0.6916234365602881,0.5531663012840589,0.8178,96.605,12.229,30.0,3990,,,,,,,
37,,,,,,,,,30.0,3990,,,978.521,32.406,4.078,4200466300692480.0,1.031233607079451
38,0.013119335286319256,4.539630889892578,0.7894800118625241,0.7897816202627507,0.6592927414829012,1.0188,95.211,12.76,30.0,3990,,,,,,,
